index,uid
0,120967
18,255228
23,781632
46,638996
52,686259
68,412498
71,322511
72,837397
90,723081
100,323782
109,953635
116,671700
148,100273
170,700804
186,243336
191,106674
200,652970
212,112472
213,258632
217,339688
218,611739
220,586068
234,947701
243,715528
247,271987
248,455121
252,834521
263,347770
275,742638
281,664798
289,916494
297,806991
302,995434
321,465914
327,493896
329,445495
336,402409
339,171594
341,438837
342,977407
372,909536
401,469120
407,991715
409,186982
410,468598
413,731825
436,540153
443,434519
452,922642
454,883704
457,770335
466,549862
467,780130
481,443669
493,557262
500,672462
502,806307
538,852683
560,436592
561,574170
579,984201
590,319026
599,738941
607,203287
609,445848
628,499348
629,628321
635,728022
636,273245
663,674327
665,911586
668,516521
669,625208
673,631655
675,877934
680,404136
706,112075
714,691367
716,426910
719,423148
721,204516
730,659634
732,481249
735,132683
736,836394
754,877105
766,696773
769,525141
776,992222
781,301038
784,146702
789,241443
791,486288
796,335869
800,535765
802,785937
809,199657
830,238357
845,120951
857,310181
862,423778
869,779884
879,333129
893,439998
894,161456
896,447082
904,229940
905,546057
908,413685
914,247360
916,183437
918,771150
921,509314
922,469862
928,977239
930,605794
955,317377
958,709811
963,220030
965,293104
975,994919
976,211890
977,543221
983,424677
986,938135
990,494424
995,517453
1003,274797
1012,474824
1017,729505
1026,904867
1027,612078
1050,103976
1059,975407
1067,494787
1072,167212
1077,273245
1083,182651
1086,872096
1090,695899
1094,929024
1097,376821
1117,886582
1126,728720
1135,736733
1145,856174
1149,612716
1151,892785
1152,475715
1156,399845
1161,153808
1179,984588
1185,588082
1192,259133
1193,636366
1196,872586
1203,120502
1206,785164
1219,830792
1222,928794
1224,196029
1227,966681
1229,275793
1241,820572
1244,998832
1261,925846
1275,196346
1278,209678
1279,797401
1282,815617
1292,813263
1295,989320
1303,776059
1307,977407
1312,305444
1322,472117
1326,279444
1333,637967
1335,711645
1339,562167
1366,908227
1375,348860
1380,505238
1391,302108
1406,993559
1413,386531
1415,576327
1417,500277
1422,620246
1427,225582
1430,305062
1445,992751
1464,858240
1465,857669
1468,122172
1475,125609
1477,789928
1478,430951
1495,154153
1507,794856
1522,243260
1529,729418
1544,694695
1548,402690
1571,838127
1573,127609
1580,211925
1581,432900
1590,246366
1591,260652
1603,288901
1606,487683
1616,278606
1618,496017
1620,272399
1644,817442
1648,852477
1649,120309
1669,687920
1681,801495
1690,206553
1700,283613
1710,633808
1713,782840
1719,648610
1723,518044
1726,658895
1727,501247
1751,535740
1761,896028
1762,170794
1769,225146
1780,207447
1781,182120
1787,995091
1793,811568
1797,936530
1800,815518
1801,932198
1804,617158
1808,960474
1812,500387
1821,825246
1822,920784
1831,512498
1844,505033
1846,821707
1853,461235
1854,421807
1875,856192
1897,888385
1903,246526
1907,300222
1912,295299
1921,408807
1924,950514
1925,812707
1932,108735
1938,863523
1942,827929
1943,803410
